_id,word_count,negative_score,neutral_score,positive_score,compund_score,cases,Year,Month,Day,keyword
nyt://article/a0616ba6-6299-50ef-88fd-410f842eca4b,1007,0.129,0.815,0.055,-0.9928,7,2019,11,6,mental_health
nyt://article/e27e84db-872e-52c2-8ba3-be1b22a6a106,1546,0.33,0.567,0.103,-0.9999,6,2019,12,1,mental_health
nyt://article/30aca6bb-cc6d-5957-ba24-0c2e13690a2e,1009,0.114,0.732,0.154,0.954,6,2019,11,27,mental_health
nyt://article/1c0967d5-635d-5bee-810a-d09cea14e9a7,833,0.159,0.742,0.098,-0.9739,7,2019,11,20,mental_health
nyt://article/11af6a11-0c2a-5c9a-a2d0-f087bddfed05,1278,0.131,0.66,0.21,0.9966,3,2019,11,22,mental_health
nyt://article/bae47aa8-3392-549e-a8d2-cf3ae3ac97ea,1047,0.093,0.653,0.254,0.999,3,2019,11,22,mental_health
nyt://article/9d05f1bd-bd80-5f29-8731-44dfe9794aeb,490,0.139,0.776,0.085,-0.9686,5,2019,11,16,mental_health
nyt://article/d7767b18-9f1e-596d-bd0b-be4ca8b30806,1150,0.137,0.688,0.175,0.9783,3,2019,11,16,mental_health
nyt://article/82981ddb-8de0-5c92-9401-80a3717f080b,285,0.224,0.742,0.034,-0.9918,2,2019,11,14,mental_health
nyt://article/10ed9810-4949-52c8-8122-ce6183c1787c,214,0.211,0.724,0.065,-0.979,1,2019,11,12,mental_health
nyt://article/98a0a8cc-a933-5c8b-a82c-3a653911a47f,1210,0.126,0.761,0.113,-0.7938,5,2019,11,10,mental_health
nyt://article/032dd001-68bd-5543-8e60-623335fd8330,1149,0.152,0.624,0.224,0.9959,1,2019,11,14,mental_health
nyt://article/54fc2ec0-eca9-55f0-9d02-85944ee5ff48,1281,0.1,0.664,0.237,0.999,11,2019,11,8,mental_health
nyt://article/0d593297-b166-5165-93ff-2c921f7d00ff,2448,0.268,0.59,0.142,-0.9998,8,2019,11,11,mental_health
nyt://article/8f2ea658-d042-51de-ba14-c122627dc633,857,0.204,0.653,0.144,-0.9887,0,2019,11,9,mental_health
nyt://article/df965d96-044d-5580-9326-f83152c562a9,1674,0.217,0.636,0.148,-0.9984,1,2019,11,11,mental_health
nyt://article/0d7694df-873a-51ee-9a74-9671b180fd27,1799,0.159,0.749,0.091,-0.9978,10,2019,11,2,mental_health
nyt://article/bac0144d-cf93-56b1-b5df-115b98e4efcb,1582,0.158,0.733,0.109,-0.9973,1,2019,10,16,mental_health
nyt://article/2e13eb72-123b-5e98-81b0-e37629552756,730,0.099,0.678,0.222,0.997,15,2019,9,26,mental_health
nyt://article/faaeb66d-7c1f-5cc1-8679-9cc3f87ecc60,769,0.177,0.731,0.092,-0.9926,10,2019,10,11,mental_health
nyt://article/0e93074e-0654-5895-90e8-fd8a2c1c2934,1066,0.117,0.789,0.094,-0.9188,3,2019,10,11,mental_health
nyt://article/61cf808e-e46f-5bd8-8594-e0f117e38419,1029,0.161,0.629,0.21,0.9918,1,2019,10,8,mental_health
