Date,Total,MH_Total,Non-MH,-5k
2010-01,12888,31,12857,7857
2010-02,11697,34,11663,6663
2010-03,12992,44,12948,7948
2010-04,12241,40,12201,7201
2010-05,12498,25,12473,7473
2010-06,12164,32,12132,7132
2010-07,11296,35,11261,6261
2010-08,11558,37,11521,6521
2010-09,12128,27,12101,7101
2010-10,12430,35,12395,7395
2010-11,11291,29,11262,6262
2010-12,10166,0,10166,5166
2011-01,11445,66,11379,6379
2011-02,10460,26,10434,5434
2011-03,12043,32,12011,7011
2011-04,11137,27,11110,6110
2011-05,11360,21,11339,6339
2011-06,11315,26,11289,6289
2011-07,10769,35,10734,5734
2011-08,12374,29,12345,7345
2011-09,15217,30,15187,10187
2011-10,15141,29,15112,10112
2011-11,14958,43,14915,9915
2011-12,15017,0,15017,10017
2012-01,16734,23,16711,11711
2012-02,13303,22,13281,8281
2012-03,12074,40,12034,7034
2012-04,11345,33,11312,6312
2012-05,14206,38,14168,9168
2012-06,10955,31,10924,5924
2012-07,10803,39,10764,5764
2012-08,11192,31,11161,6161
2012-09,10334,24,10310,5310
2012-10,9239,27,9212,4212
2012-11,8524,40,8484,3484
2012-12,7968,0,7968,2968
2013-01,8496,68,8428,3428
2013-02,8103,44,8059,3059
2013-03,10307,52,10255,5255
2013-04,10248,61,10187,5187
2013-05,9317,41,9276,4276
2013-06,8945,35,8910,3910
2013-07,8017,35,7982,2982
2013-08,7890,46,7844,2844
2013-09,8757,40,8717,3717
2013-10,9038,39,8999,3999
2013-11,8527,37,8490,3490
2013-12,8512,0,8512,3512
2014-01,8922,31,8891,3891
2014-02,8497,28,8469,3469
2014-03,8970,44,8926,3926
2014-04,8502,44,8458,3458
2014-05,8815,52,8763,3763
2014-06,9058,35,9023,4023
2014-07,8237,36,8201,3201
2014-08,8148,36,8112,3112
2014-09,8932,24,8908,3908
2014-10,9224,41,9183,4183
2014-11,8357,38,8319,3319
2014-12,8048,1,8047,3047
2015-01,11698,32,11666,6666
2015-02,7561,35,7526,2526
2015-03,8397,41,8356,3356
2015-04,7768,37,7731,2731
2015-05,7973,39,7934,2934
2015-06,7888,39,7849,2849
2015-07,7893,53,7840,2840
2015-08,7435,67,7368,2368
2015-09,8273,34,8239,3239
2015-10,8499,50,8449,3449
2015-11,7777,40,7737,2737
2015-12,7582,2,7580,2580
2016-01,7644,52,7592,2592
2016-02,7297,40,7257,2257
2016-03,7502,43,7459,2459
2016-04,6699,67,6632,1632
2016-05,6802,50,6752,1752
2016-06,6640,39,6601,1601
2016-07,6120,51,6069,1069
2016-08,5268,49,5219,219
2016-09,5904,42,5862,862
2016-10,5792,46,5746,746
2016-11,5418,38,5380,380
2016-12,5073,3,5070,70
2017-01,5205,38,5167,167
2017-02,6253,41,6212,1212
2017-03,5650,47,5603,603
2017-04,4979,41,4938,-62
2017-05,5337,59,5278,278
2017-06,5356,62,5294,294
2017-07,4828,55,4773,-227
2017-08,6976,48,6928,1928
2017-09,7416,46,7370,2370
2017-10,7545,50,7495,2495
2017-11,6600,62,6538,1538
2017-12,6599,1,6598,1598
2018-01,6903,75,6828,1828
2018-02,6660,90,6570,1570
2018-03,7299,69,7230,2230
2018-04,6852,54,6798,1798
2018-05,7421,77,7344,2344
2018-06,7474,70,7404,2404
2018-07,6645,62,6583,1583
2018-08,6237,44,6193,1193
2018-09,7102,59,7043,2043
2018-10,7658,48,7610,2610
2018-11,6727,58,6669,1669
2018-12,6291,1,6290,1290
2019-01,6977,52,6925,1925
2019-02,6559,63,6496,1496
2019-03,7353,63,7290,2290
2019-04,6933,52,6881,1881
2019-05,7212,63,7149,2149
2019-06,7024,76,6948,1948
2019-07,6757,49,6708,1708
2019-08,6610,77,6533,1533
2019-09,7174,82,7092,2092
2019-10,7580,61,7519,2519
2019-11,6517,76,6441,1441
2019-12,5956,2,5954,954
